brand,product_name,mention_count,avg_score,score_std,score_distribution,top_strengths,top_weaknesses,target_audience,trigger_count,triggers,ad_count
투슬래시포,투슬래시포 엔젤릭 새틴 쿠션,18,2.72,1.07,1점:3건 / 2점:4건 / 3점:6건 / 4점:5건,"얇게 발림(2), 빠른 밀착력(1), 빠른 픽싱력(1)","양 조절 어려움(4), 양 조절 필수(2)","수부지(4), 모공(2), 건성(2), 환절기(2), 얇게 바르는 것 선호(2)",16,그래서요 제품은 장각질이나 그런 솜털 그다음에 모공이랑 흉이 있으신 분들은 조금 사용하기 어렵지 않으실까라는 생각이 드네요. ||| 써도 한 겨울쯤에 쓸 수 있을 것 같아요. ||| 이게 제가 느꼈을 때 포지셔닝이 좀 애매해요. 왜냐면 이게 아쉬운 점이 모공 커버력이고 강점이 잡티 커버잖아요. 근데 보통 모공이 없는 사람들은 건성이 많고 건성은 또 잡티가 없는 경우가 많아. ||| 그럼 모든 분들이 이렇게 발라야 되나요라고 물어보면은 그거는 아니에요. 그게 무슨 말이에요? 제 피부를 설명을 드리면 저는 왕모공도 있고요. 특히나 이렇게 잔주름 피부가 얇은 편이다 보니까 코어 게임이라든지 눈가 주름이 굉장히 잘 끼거든요. 또 나이도 있는지라. 그래서 그런 부위들은 진짜 적은 양을 요렇게 사용해 주셔야 되는데 저는 피부결도 예쁘고요. 저는 또 모공도 거의 없고요. 하시는 분들은 그냥 얘를 막 두드려서 사용해 주셔도 어렵지 않은 예쁘게 피유표율이 되지 않을까 싶은 쿠션입니다. ||| 다만 붉은기 커버가 꼭 필요하신 분들한테는 살짝 부족하게 느껴질 수 있어요. ||| 이 재형이 여름에 쓰자니 시간이 지나니까 유분도 빨리 올라오고 좀 번들거리는 느낌이 나더라고요. ||| 물랑이 분들 중에서 요거를 오프라인으로 테스트를 해 볼 기회가 있다면 약간 톤을 조금 낮춰서 사용을 해 보셔도 괜찮을 것 같다라는 생각이 들었고요. ||| 막 되게 얇은 쿠션일 거야라고 생각하시면 어 좀 두껍네라고 생각하실 수도 있을 듯. ||| 바를 땐 좀 촉촉함이 한두 방울 이렇게 있어야 피부에 붙잖아요. 그런 걸 되게 잘 구현 뭐 메이크업 베이스까지 하시거나 또는 기초를 잘 깔고 하시면 더 수월하게 붙을 것 같아요. ||| 요 요 쿠션 점수는 계절에 따라서 좀 달라질 것 같은데 한 여름에 썼다고 하면은요 유분기 때문에 한 3점 정도 줬을 거 같은데 아무래도 피부 표현이 너무 예쁘고 피부를 건강하게 보이는 광이 너무 마음에 들었어서 가을이나 겨울에 사용한다면 한 4.2점 정도 주지 않을까 싶어요. ||| 모공이 조금 남아 있다고 해 가지고 여기를 이렇게 막 쓸어서 더 넣어 주면은 그게 나중에 모공에 좀 끼이더라고요. ||| 쿠션 자체가 호불을 많이 타던데 아마 두껍게 바르셨을 확률이 높아요. 불호이셨으면 엄청 얇게 한번 발라 보세요. 그러면 되게 좋다고 느끼실 거예요. ||| 스킨케어와 선크림의 궁합으로 조금 갈리는 쿠션이에요. ||| 유분이 많이 올라오는 지복합성 지성이신 분들은 사용하시면 안 될 거 같고 건성이신 분들은 좋아하실지 사실 잘 모르겠고 아니 이게 또 엄청 촉촉한 쿠션은 아니란 말이에요. 그래서 지금 좀 되게 애매한 거 같아. ||| 시간 가면은 21호가 다크닝이 많이 온다. 근데 또 17호 쓰기엔 너무 밝다 하시는 분들이 쓰기 딱 좋은 컬러감인 거 같아요. ||| 여러분들 중에서 피부가 좀 얇고 피부결 자체는 좋은데 얼굴에 붉은기가 많지 않은 건성 피부들한테는 이 쿠션이 생각보다 도톰하게 올라온다고 느껴질 거고요.,0
어바웃톤,어바웃톤 워터 레이어핏 쿠션,14,3.07,1.49,1점:3건 / 2점:2건 / 3점:3건 / 4점:3건 / 5점:3건,"높은 커버력(2), 촉촉한 밀착력(1), 각질 부각 없음(1)","낮은 커버력(2), 요철 커버가 매트/세미매트보다 완벽하지 않음(1)","환절기(3), 건성 피부(2), 건성(2), 수부지(2), 민감한 트러블성 건성(1)",14,"컬러수가 어두울수록 좀 주황빛이 많이 돈다는 의견이 있는데 채도가 조금 있는 느낌이라 아마 뉴트럴 톤 좋아하시는 분들이라면 선호하실 컬러들이고요. 하지만 19호, 21호 그리고 21.5호 같은 경우에는 유트럭이 많이 돌지 않고 맑은 화사한 빛으로 나와서 저는 평소에 클리어 쿠션 21N이나 23N을 썼는데 21.5가 5가 어 되게 잘 맞더라고요. ||| 모공이 조금 많으신 분들은 모공이 좀 많이 있는 부분을 한번 묻혀서 약간 이렇게 밀어 주세요. 그냥 밀어 버리고 그다음에 이렇게 두드려서 펴발라 주면은 모공을 조금 더 잘 채울 수 있어요. ||| 자연스러운 피부 표현을 할 수 있는 약간 피부 바탕이 깨끗하신 분들이 쓰시면 그래도 괜찮을 것 같다. ||| 재형이 생각보다 꽤 미끄러운 제형이에요. 그래서이 퍼프 두드릴 때 좀 힘 있게 두드려 주셔야 돼요. 아니면은 정세물 쿠션의 퍼프나 약간 스펀지 재질의 퍼프를 사용하시는 걸 추천드리는데요. 그러면은 이렇게 두드리는 횟수가 좀 줄어들 거예요. 근데 어바우톤 쿠션의 퍼프는 좀 얇아 가지고이 두드리는 횟수를 생각보다 많이 두드려야지 피부에 붙는다고 느껴지실 거예요. ||| 건조한 환경에서는 매트해지고 유분기 있을 땐 번들거리고 그래서 이 쿠션 바르실 때 스킨케어는 수분 위주로 좀 깔끔하게 해주시면 무너짐도 훨씬 덜하고 깨끗하게 유지가 될 거예요 ||| 글로우 쿠션에 바라는 점이 촉촉한 보습 요런 느낌이셨던 분들은 이 어버톤 워터레이어픽 쿠션에 조금 실망을 하실 것 같고요. 대신 아 나 글로우 쿠션 특유에 얹어지듯 올라가면서 밀착력 떨어지는 거 너무 싫어. 그리고 나는 수부지 지성이라 글로우 쿠션 특유에 유분감이 싫어하셨던 분들 있죠. 그런 분들은 굉장히 잘 쓸 거 같아요. ||| 관감이 굵으면 피부가 엄청 좋은 사람 아닌 이상 요철 부각이 좀 생긴단 말이에요. ||| 대신 극건성 속건 조심한 건성 수부지 피부는 겉에 광이 들어보야 좋아 보이지만 속을 자세히 보면 건조함이 느껴지실 수도 있어요. ||| 근데 이게음 조금 더 펴발라 봐야지 알겠지만은 지금 처음 펴 발랐을 때 모공이랑 흉 구멍 사이에 좀 잘 스며되지 않고 위에 얹어진 느낌으로 좀 커버가 되는게 보이거든요. ||| 이 쿠션은 이번에 호브로가 갈렸던 걸로 알고 있는데 제가 이걸 쓰다 보니까 발림성 자체는 괜찮은데 양조절을 특히 더 잘해 줘야 되는 것 같더라고요. ||| 지금 23은 조금 패닝하신 분들이나 정말 정석의 235분들이나 23.5분들은 23호 쓰면 돼요. 저는 어바우톤에서 22.5를 사는게 맞는 거 같아요. ||| 만약에 퍼프에 묻어 있는 양이 너무 많으면 두드릴 때마다 커버력이 너무 높아져서이 질감을 잃을 수 있어요. ||| 아 그래도 그렇지 메이크업 한판 한 티가 너무너무 안 나는데 막 생얼 커버가 너무 안 됐는데 싶으면은 그렇게 느껴지는 부분에 조금 더 묻혀 가지고 가볍게 요런 코 중앙이나 이런 중앙부 위주로만 조금만 더 뚜들뚜해 주면은 되니까 아무튼 쿠션은 무조건 양조 깔끔하게 얇게 잘 깔아 주는 거 추천드리고 싶어요. ||| 건성 피부인 분들은 세미 매트 쿠션의 느낌이니까 기초케어 하실 때 참고하시면 도움 되실 것 같아요.",4
정샘물,정샘물 에센셜 스킨 누더 쿠션,13,3.85,1.14,1점:1건 / 3점:3건 / 4점:5건 / 5점:4건,"고급진 윤광(2), 얇고 샤르르한 발림성(1), 고급진 피부 표현(1)","비싼 가격(2), 낮은 커버력(1)","환절기(2), 가을(2), 피부 좋은 건성(1), 노란기가 많은 피부(1), 붉은기 커버를 원하는 사람(1)",11,"제일 밝은 컬러를 21호가 쓸 정도니까 그것보다 피부가 더 밝으신 분들은 못 쓸 것 같습니다. ||| 요게 조금 옐로우 베이스여서 너무 많이 바르면 좀 화장이 두꺼워 보일 수 있어서 제가 일부러 좀 얇게 바를게요. ||| 건성피부한테는 베스트, 지성 피부한테는 후회템이 될 수도 있을 것 같아요. ||| 정세물 쿠션 같은 경우에는 커버력 지속력 피부 표현을 뭐 크게 신경 쓰지 않아도 예쁘게 발리는 쿠션이거든요. 그래서이 영상을 보고 계시는 분들 중에서 혹시 정세물 쿠션 찐팬이거나 정세물 쿠션 정말 오랫동안 써 와서 다른 쿠션 좀 써 보고 싶은데요 하시는 분들은 조금만 더 정샘물 쿠션 쓰시기를 추천드릴게요. 왜냐면 그런 분들이 비디비치 쿠션을 썼을 때는 뭔가 그 커버력 좋고 피부에 붙어 있는 그 힘 좋은 느낌이 좀 피부가 답답한데라고 느끼실 수가 있고요. 어버 쿠션을 쓰면은 밀착력이 살짝 아쉬운데라고 느끼면서 정세물 쿠션으로 다시 돌아갈 것 같거든요. ||| 정샘물은 수면감 있게 올라가는 느낌이다 보니까 커버력이 높아지는 데에는 한계가 있었어. ||| 다만 양 조절 안 하면 두껍게 발릴 수 있으니까 옆에 팔레트에 덜어서 발라 주세요. ||| 글로우한 쿠션 찾고 있었는데 엄청 뽀용한 색상이었으면 좋겠다 하시면 사시는 거 좀 비추고요. 근데 저처럼 요즘에 좀 자연스러운 컬러를 좋아하고 자연스러움에서 오는 그 고급찜이 있거든요. 그걸 좀 원하시는 분들한테는 진짜 강추입니다. ||| 파우더 처리를 해 줘야 하는 글로우 쿠션인데 이 정도면 무드함도 좋다고 생각해요. ||| 다만 팔자 주름 쪽으로 살짝 게임 현상이 있긴 했는데요. 그런데 제 피부가 앞꼼성인 걸 고려했을 때이 정도면 상당히 선방을 한 거예요. 사실 이거를 분삼으면 제가 쓸 수 있는 쿠션은 진짜 몇 개 안 될 겁니다. ||| 건성 피부는 4개 내내 잘 사용하고 있는 꽃이 아니라 겨울철을 사용할 때는 화달목 스킨케어가 필수이긴 하지만 제 기준 겨울에 딱 좋을 건성 쿠션이라 마음에 들었던 쿠션입니다. ||| 저는 옛날에 이거 19호인가 페어 지금 13호 말고 이거보다 더 위에 호수를 썼는데 너무 누러운 거예요.",1
파넬,파넬 시카마누 세럼쿠션,13,3.92,1.26,1점:1건 / 2점:1건 / 3점:1건 / 4점:5건 / 5점:5건,"예쁜 광(1), 사계절 사용 가능(1), 예쁜 무너짐(1)","낮은 커버력(3), 지속력이 아주 좋지는 않음(1)","건성(4), 지성(2), 겨울철(2), 복합성(2), 트러블 피부(2)",10,저는 지성이기 때문에 거의 모든 쿠션에서 피니시 파우더를 써 주기 때문에 웬만한 경우에서나 진짜 한 여름 아니면 요거 안 무너지고 잘 쓰고 있어요. ||| 대신 한 겹 발랐을 때는 진짜 내 피부인데 조금 더 좋아 보이는 그 정도 느낌이고 두 겹랐을 때 커버력이 높아지긴 하지만 완전히 결점을 싹 가려 주는 느낌의 쿠션은 아니야. ||| 그러면은 파넬 살까요? 해브 블루 살까요? ||| 건성 수부지는 처음에는 괜찮은데 시간 지나면 속건조가 느껴질 수 있어서 기초를 꼼꼼히 하시는 걸 추천드리고요. ||| 건성은 스킨케어 잘하면 세미 매트와 세미글로우 사이로 표현 가능할 것 같고 복합성 피부도 무난하게 사용 가능하지만 코나 나비좀처럼 속들뜸이 있는 부위는 주의가 필요해요. ||| 하지만 여름에는 티존 파우더 필수다. ||| 저는 21호를 쓰고 있는데 얘가 처음 발랐을 때 살짝 밝은 느낌이 있고 23원도 살짝 어두워요. 조금 시간이 지나면 아무래도 다크닝이 있고 하기 때문에 저는 21호를 쓰고 있는데 아무튼 저한테는 살짝 밝다. ||| 여러분 저는 얼굴만 건조한게 아니라요. 몸도 굉장히 건조하거든요. 그래서 여름에도 막 땀이 많이 나는 체질이 아니에요. 그만큼 땀이 나지 않기 때문에 쿠션이 지워질리는 없거든요. 그런데 이 파늘에 시카마노세럼 쿠션은 제형이 다 날아가서 흔적도 없이 사라졌더라고요. ||| 그니까 이거 두 개랑 비교하자면은 얘는 촉촉함에도 불구하고 지속력이나 그 커버력을 살짝 생각을 했어. 그래 가지고 파우더 함량이 조금 더 높은 느낌이거든요. 근데 얘는 지성은 그냥 바르자마자 나가면은 그냥 다 먹어 버리는 느낌이 나겠구나. ||| 대가 느끼기에는 두꺼운데 커버가 필요하신 분들한테는 그렇게까지 두꺼운 쿠션은 아닐 것 같긴 합니다.,1
클리오,클리오 킬커버 파운웨어 쿠션,11,3.73,0.9,2점:1건 / 3점:3건 / 4점:5건 / 5점:2건,"높은 커버력(5), 뛰어난 지속력(2), 얇은 입자(1)","건성에게는 건조함(1), 다크닝 심함(1)","세미매트 선호(5), 지복합성(2), 여름철(2), 높은 커버력 선호(2), 건성(2)",9,"모공이 있으신 분들은 딱 올리자마자 어 모공에 막 끼나라고 느끼시는 분들이 계시더라고. 근데 그거 왜 그러냐면 얘를 밀듯이 발라서 그래요. 직각으로 눌러서 바르셔야 밀착, 지속력, 모공 커버력이 굉장히 높아집니다. ||| 스킨케어는 너무 가볍게도 너무 탄탄하게도 말고 진짜 그냥 적당히 해 주시는게 좋아요. ||| 펴 바를 때 '촉촉하고 시원하다', '물기가 많이 느껴진다' 하면 양이 많은 겁니다 퍼프 원단의 질감이 느껴져야 적당량입니다 아시겠죠? ||| 이거는 바르자마자 보이는 컬러로 구매하면 안 될 거 같고 통등에 테스트하고 다른 거 좀 더 구경하다가 어두워진 톤을 보고 그 컬러로 구매를 하셔야 될 거 같습니다. ||| 리뷰를 시작하기에 앞서 보송 쿠션인만큼 스킨케어를 어떻게 해야 할지에 대한 고민도 있으실 것 같은데요. 특히 여름철에는 아주 기름지게 듬뿍듬뿍 선크림을 발라 주잖아요. 근데 괜찮아요.요 쿠션의 제형이 정말 자석처럼 착 달라 붙거든요. 그리고 잘 퍼져서 우리 친구들의 피부 타입에 맞게 스킨케어 해 주시고 쿠션을 올려 주셔도 됩니다. ||| 두 제품 한 달 전에 나왔으면 더 괜찮았을 것 같다는 생각이 들긴 하거든요. 첫 터치를 했을 때 피부 표율이 너무 예쁘고 유분 컨트롤도 꽤나 잘해 주고 수정으로도 괜찮거든요. 근데 이제 날씨가 선선해질 일밖에 안 남았는데 이 두 쿠션을 추천드리기에는 약간의 리스크가 있을 것 같다라는 생각이 드네요. ||| 색조 메이크업이라든지 좀 더 풀매하고 싶다. 그런 날에는 여기 클리어 쿠션을 추천을 드리고요. ||| 미묘하게 차흙 갈라지듯이 좀 갈라진게 있어요. 그렇게 두껍게 메이크업하지 않았거든요. 여기도 좀 이렇게 지글지글지글하게 낀게 차를 끼듯이 그런게 좀 있어요. ||| 기름 위에 바르니까 모공에는 살짝 끼어서 이거는 어쩔 수 없는 거 같아. 요분이랑 걷어내고 바르셔야 될 거 같아요.",2
어바웃톤,어바웃톤 스킨 레이어 핏 쿠션,11,3.91,0.54,3점:2건 / 4점:8건 / 5점:1건,"높은 커버력(2), 할인 시 가격 매력(1), 얇고 편안한 밀착(1)","색감 아쉬움(1), 밀착력 부족(1)","수부지(3), 지성 피부(3), 지성(2), 대중적(1), 편안한 피부 표현(1)",7,"이런 애들의 특징이 좀 편안하게 펼쳐지니까 커버르을 위해서 처음부터 벅벅 올리게 되면은 피부 위에 붙는 느낌보다는 얹어지는 느낌으로 표현이 되기 때문에 이게 유분하고 만나면은 나중에 무너지면서 좀 호브로가 갈리게 어떤 사람은 되게 지저분해질 수 있는 그런 소지가 있어요. ||| 제가 요걸 여름에 썼을 때는 살짝 무너짐이 조금 있다고 느꼈어요. 왜냐면 어바운톤 파데가 무너짐이 정말 없는 편이어 가지고 그거랑 비교하니까 아 얜 좀 무너짐이 있다라고 생각을 해서 여름에 손이 잘 안 갔는데 좀 선선해지고 나서 쓰고 보니까 아 되게 괜찮더라고요. ||| 그렇다고 이게 유분간이 막 꽉 잡히는 매트까지는 또 아니다 보니까 추천 타입은 극건성과 극지성을 제외한 피부고요. 건성 피부분들이 쓰신다면 스킨케어 꼭 탄탄히 하고 써 주시고요. 지성피분들이 쓰신다면 뭐 프라이머나 파우더 처리 꼭 하시는 거 추천드릴게요. ||| 지정분들은 어바던 파우더랑 함께 쓰면 최강일 듯하네요. ||| 요쪽이 뭉치고 솜털에 끼긴 했는데 이게 그 파대제형이라는게 뭔지 알 거 같아요. ||| 컨트롤만 잘해 주면은 전반적인 재형감, 밀착감, 컬러감 모두 상위 랭킹의 쿠션이라고 생각하시면 될 거 같고 ||| 그래서 개인적으로는 수부지 지성분들한테는 정말 정말 추천을 하지만 속건조가 있거나 건성 피부라면요 쿠션 약간은 픽싱되고 마른다는 느낌 들 수도 있을 것 같아요.",1
힌스,힌스 커버 마스터 핑크 쿠션,11,3.09,0.94,2점:3건 / 3점:5건 / 4점:2건 / 5점:1건,"높은 커버력(3), 커버력 좋음(2), 커버력 높음(1)","덧바르면 들뜸/끼임(1), 모공 커버 약간 아쉬움(1)","복합성(2), 수부지(2), 커버력 높은 세미매트 선호(1), 사용하기 편한 매트 제형 선호(1), 묵직하고 광나는 세미 글로우 선호(1)",11,요 제품은 아무래도 픽싱이 좀 확실하게 되는 타입인만큼 한 번만 딱 터치를 하고 더 이상의 터치는 안 하는게 좀 더 깨끗하게 발릴 것 같아요. ||| 파우더 처리에 따라서 지속력이 좀 많이 달라져요. 근데 만약에 난 파우더에 unk&gt;unk한 느낌 너무 싫다. 파우더 적게 쓰고 싶다 이러시면 수정화장 또 중간중간 해 주시면 돼요. ||| 대신에 얘도 촉촉 쿠션이라고는 하지만 피부에 굉장히 밀착되는 느낌이 강해 가지고 얘를 막 무작정 밀어 가지고 계속해서 막 요렇게 사용하고 막 두드려주고 또다 요러면은 모공 게임이 생길 수가 있고 무너짐이 안 예쁠 수가 있어요. ||| 건성 피부는 기초를 꼼꼼히 해 주신다면 세미 매트와 세미 글로사이로 예쁘게 표현이 되고요. 지성 피부는 파우더 트리를 살짝 더해 주면 안정적으로 유지됐어요. 투부지 피부는 코 부분이 좀 들뜰 수 있어서 조금 신경 써서 발라 주셔야 되고요. ||| 저처럼 건성 피부이신 분들은 스킨케어 좀 짱짱하게 해주고요 쿠션 올려 주시면 요렇게 잘 먹습니다. ||| 기존에 저랑 비슷하게 21호 n이나 C를 무난하게 쓰셨던 분들이라면 22호까지 살짝 내려가도 괜찮을 것 같아요. ||| 흰스가 가장 커버력이 높지만 그만큼 가장 두껍고 그리고 컬러가 이뻐지게 나왔는데 다크닉이 심하다. ||| 어차피 요거는 잘 펴벌리고 잘 안 뜨기 때문에요 코 옆에 기름이 걱정이신 분들은 그냥 애초부터 이렇게 쓸어서 처음부터 얇은 양으로 발라 주시면은 이렇게 몽골몽골 뜨는게 없을 것 같다는 생각이 들거든요. ||| 다만 이 쿠션이 기초로 조금 타는 쿠션이기 때문에 너무 촉촉하게 베이스를 하면은 세미매트로 픽싱이 되는 쿠션이라 밀릴 수 있기 때문에 적당한 화살목 스킨케어는 필수입니다. ||| 양을 많이 발랐던 부분은 시간이 지나면서 살짝 들는게 느껴져서 양조이 관건이 쿠션이었습니다. ||| 특히 여러분들 중에서 파우더 무조건 쓰시는 분들 있죠? 그런 분들에게는 솔직히 이 쿠션 많이 추천하지는 않아요.,0
더샘,더샘 스킨 퍼펙션 글루타치온 토닝 쿠션,11,3.18,1.25,1점:1건 / 2점:2건 / 3점:4건 / 4점:2건 / 5점:2건,"은은한 광채(1), 글루타치온 성분 함유 (효능 기대)(1), 붉은기 없는 밝은 색감과 오일 미스트를 섞은 듯한 투명한 광택(1)","양 조절 어려움(1), 밀착력 약함(1)","건성(2), 복합성(2), 수부지(2), 겨울철(2), 지성 피부 및 핑크빛 없는 옐로우 베이스의 밝은 호수 선호자(1)",9,"다른 쿠션들보다 오히려 터치를 덜 했음에도 불구하고 요런 현상들이 보여 가지고 좀 들는거나 허역게 끼이는 거 별로 안 좋아한다 하시는 분들은 조금 사용하기 어렵다고 느끼실 거 같아요. ||| ""겉으로는 유분감이 나와 보이는데 모공 끼임과 주름 끼임이 살짝씩 있는 거야."" ||| 복합성 피부는 유분이 많이 올라온 부분만 파우더 처리하시면 예쁘게 쓰실 수 있고요. ||| 제가 여기 코 밑부분이 진짜 잘 뜨거든요. 여기 장각젤들이 시간이 지나면서 스물스물 올라오더라고요. 그래서 이렇게 각제들이 잘 뜨는 부분은 연작 같은 베이스프랩 제품들 있잖아요. 그런 거를 한번 요렇게 얇게 발라 준 다음에 쿠션 깔아 주시면 각질이 싹 눌러지면서 쿠션이 더 잘 먹을 것 같다는 생각이 들더라고요. ||| 지성분들도 촉촉 쿠션 쓰고 싶은데 너무 번들거리는 느낌 되면 나는 조금 어렵다. 그리고 시간이 지나면서 유분기가 올라오는 것 때문에 안 쓰게. 요거 쓰세요, 친구들. ||| 제가 이제 설명할 때는 그냥 막 두드려도 예쁘다라고 말씀을 드리기는 했지만 나는 밀어 쓰고 싶은데요. 저는 왕모공이라 한 번은 밀어지고 싶은데요. 밀어주셔도 돼요. 당연히 당연히 한번 가볍게 쓱 밀어 준 다음에 두들기셔도 굉장히 커버가 잘 된다라는 거. 어떤 방법으로써도 예쁜 쿠션이라는 거. ||| 나는 오늘 좀 간단하게 립이라든지 아니면 좀 깔끔한 피우 표현에 집중해 가지고 포인트를 줘 가지고 메이크업을 하고 싶다 하면은 더셈을 쓴다든지 이렇게 선택해 보시면 좋을 거 같아요. ||| 지성 수부지 복합성 피부인 분들께는 괜찮게 잘 사용할 쿠션이지만 건성 악관성 피부인 분들은 픽싱이 빠르기 때문에 이게 스킨케어링 쿠션이야 하는 의문이 들 수도 있어요. ||| 더셈은 사실 진짜 기대를 하나도 안 해서 더 좋게 느껴지는 건지 모르겠는데 깨끗하고 환난 피부로 완성해 준다.이 말이 진짜 정확하게 너무 예뻐요.",2
VDL,VDL 커버스테인 퍼펙팅 쿠션,10,4.2,0.92,2점:1건 / 4점:5건 / 5점:4건,"모공 커버 잘 됨(3), 얇은 밀착력(1), 깨끗한 색상(1)","수정 화장 시 지우고 덧바르는 것이 좋음(1), 바르기 어려움(1)","모든 피부 타입 (수부지(1), 복합성(1), 건성)(1), 데일리로 가볍지만 커버력과 균일한 표현 선호(1), 피부결 잘 정돈된 분(1)",7,건성분들은 환절기에 갑들이 좀 많이 올라와 있는 상태라면 한절기 스킨케어 제가 아이 버튼 올려 놓을테니까 여기로 가셔서 뭐 환절기 스킨케어도 신경 써서 하시면 정말 정말 만족하시면서 바를 수 있는 쿠션이라는 거 말씀드릴게요. ||| 그러니까 이 쿠션을 바르시는 날은 얼굴에 뭐가 묻었다 수정화장 절대 생각하지 마시고 오늘 한정 나의 다투다 생각하시고 함께이고 가세요. ||| 얇게 발리다 보니까 처음부터 커버력이 높지는 않아. 하지만 두 번 레이어링 했을 때 깔끔하게 발리면서 커버력이 두 배로 올라가. ||| 밀어서 바르면 뭉치기 때문에 두드려서 꼼꼼히 퍼트리는게 좋고요. 코에픈 차라리 지우고 다시 바르는게 더 깔끔하더라고요. ||| 저와 비슷한 피부 타입이라면 환절기에도요 쿠션 괜찮게 잘 사용하실 것 같아요. ||| 이 프라이머도 같이 주거든요. 프라이머 등정될 때 사시는 걸 추천드리고 ||| 어떤 분들은 건조하게 느끼실 수도 있을 거 같아.,0
비디비치,비디비치 블랙 퍼펙션 커버 핏 쿠션,9,3.67,1.12,1점:1건 / 3점:1건 / 4점:6건 / 5점:1건,"예쁜 피부 표현(1), 좋은 커버력(1), 예쁜 무너짐(1)","높지 않은 잡티 커버력(1), 붉은기 보정 아쉬움(1)","수부지(2), 세미매트 선호(2), 지성(1), 자연스러운 표현 선호(1), 은은한 윤광 선호(1)",6,난 자연스러운 표현이 좋은데 그렇다고 너무 막 축축하거나 광나는 건 싫고 그냥 딱 톱한 느낌만 없을 정도로 용광이 났으면 좋겠다 하시는 분들 이게 딱이에요. ||| 블랙 쿠션은 지성이랑 수부지 분들이 쓰기 좋은 쿠션이라고 치면 건성용 블랙 쿠션 느낌. ||| 저는 개인적으로 손톱으로 긁어 주면 여기 재형 낄 것 같은 그런 두꺼운 느낌 아니면 그래도 수정할 수 있는 쿠션이다라고 생각을 하거든요. ||| 스픽서나 파우더를 사용하지 않고 단독으로 사용해서 그런지 조금 자국이 남긴 했지만 파우더로 고정해 주면은 확실히 덜하더라고요. ||| 두 제품 한 달 전에 나왔으면 더 괜찮았을 것 같다는 생각이 들긴 하거든요. 첫 터치를 했을 때 피부 표율이 너무 예쁘고 유분 컨트롤도 꽤나 잘해 주고 수정으로도 괜찮거든요. 근데 이제 날씨가 선선해질 일밖에 안 남았는데 이 두 쿠션을 추천드리기에는 약간의 리스크가 있을 것 같다라는 생각이 드네요. ||| 처음 바를 때 좀 고르게 안 바르는 안 발려지는 느낌이 있어서 섬세하게 바를 필요는 개인적으로 좀 있는 거 같아요.,1
